"time"	"prog"
1	15.9493677938211
7.71428571428571	25.2048593960063
14.4285714285714	40.3337141866719
21.1428571428571	64.1282674551771
27.8571428571429	92.7383528476205
34.5714285714286	96.1330314317179
41.2857142857143	90.486346205316
48	92.9045558536277
1	21.5612533267777
7.71428571428571	29.0936163334539
14.4285714285714	42.1512542170837
21.1428571428571	75.1833042727236
27.8571428571429	90.3204532265133
34.5714285714286	86.0203671839497
41.2857142857143	88.981030279964
48	88.9222204575819
1	21.4350145829253
7.71428571428571	23.7517171457377
14.4285714285714	47.0067903344627
21.1428571428571	57.2509495310601
27.8571428571429	93.1988550609315
34.5714285714286	90.338207771059
41.2857142857143	89.7894654733456
48	100.96229888677
